 Bevölkerung seit 1871 nach Nationalität und Geschlecht 
Landeshauptstadt Stuttgart 
Jahr1)2);Bevölkerung;;Deutsche;;Ausländer
;insgesamt; männlich; zusammen ; männlich ; zusammen ; männlich 
1871*;139.578;69.188; . ; . ; . ; . 
1880*;176.033;84.362; . ; . ; . ; . 
1890*;209.348;100.011; . ; . ; . ; . 
1900*;268.969;130.325; . ; . ; . ; . 
1910*;356.724;174.708; . ; . ; . ; . 
1925*;411.322;197.106; . ; . ; . ; . 
1933*;445.010;209.616; . ; . ; . ; . 
1939*;496.490;234.668; . ; . ; . ; . 
1950*;497.677;230.924; . ; . ; . ; . 
1956*;601.115;283.974; . ; . ; . ; . 
1961*;637.539;304.744;611.438;283.517;26.101;21.227
1961 ;637.299;304.273; . ; . ; . ; . 
1962 ;639.103;307.241; . ; . ; . ; . 
1963 ;634.713;304.284; . ; . ; . ; . 
1964 ;631.754;303.549; . ; . ; . ; . 
1965 ;629.364;302.947; . ; . ; . ; . 
1966 ;625.258;299.566; . ; . ; . ; . 
1967 ;613.775;291.927; . ; . ; . ; . 
1968 ;617.472;295.601; . ; . ; . ; . 
1969 ;628.412;303.175; . ; . ; . ; . 
1970*;633.158;304.962;555.764;253.901;77.394;51.061
1970 ;634.202;305.257;552.287;252.175;81.915;53.082
1971 ;632.947;304.270;545.255;248.476;87.692;55.794
1972 ;630.390;303.011;536.770;244.186;93.620;58.825
1973 ;624.835;300.808;524.581;238.340;100.254;62.468
1974 ;613.263;292.297;515.206;233.585;98.057;58.712
1975 ;600.421;284.222;507.302;229.670;93.119;54.552
1976 ;590.135;278.677;499.582;226.232;90.553;52.445
1977 ;584.554;276.040;493.130;223.373;91.424;52.667
1978 ;583.700;276.442;489.371;221.810;94.329;54.632
1979 ;581.989;277.154;483.128;219.079;98.861;58.075
1980 ;580.648;277.572;477.689;216.755;102.959;60.817
1981 ;583.001;279.465;475.144;215.926;107.857;63.539
1982 ;573.577;273.055;471.532;214.368;102.045;58.687
1983 ;567.020;269.428;465.867;211.642;101.153;57.786
1984 ;561.567;266.046;462.525;210.128;99.042;55.918
1985 ;561.628;266.023;461.343;209.694;100.285;56.329
1986 ;565.486;268.800;461.421;210.383;104.065;58.417
1987*;551.904;263.484;454.178;207.603;97.726;55.881
1987 ;556.302;266.041;454.244;207.918;102.058;58.123
1988 ;562.658;269.742;455.535;209.391;107.123;60.351
1989 ;570.699;274.344;458.799;211.891;111.900;62.453
1990;579.988;280.444;461.013;214.334;118.975;66.110
1991;591.946;287.859;459.825;214.998;132.121;72.861
1992;599.415;292.064;455.491;212.873;143.924;79.191
1993;594.406;289.207;449.042;209.956;145.364;79.251
1994;588.482;285.684;443.713;207.598;144.769;78.086
1995;585.604;284.163;440.858;206.590;144.746;77.573
1996;585.540;284.717;439.633;206.734;145.907;77.983
1997;585.274;285.295;440.257;207.972;145.017;77.323
1998;581.961;284.086;439.470;208.415;142.491;75.671
1999;582.443;284.977;439.706;209.217;142.737;75.760
2000;583.874;286.025;442.063;211.136;141.811;74.889
2001;587.152;288.105;443.955;212.641;143.197;75.464
2002;588.477;289.208;445.697;214.216;142.780;74.992
2003;589.161;289.773;447.611;215.885;141.550;73.888
2004;590.657;290.910;450.379;217.995;140.278;72.915
2005;592.569;292.318;452.395;219.470;140.174;72.848
2006;593.923;293.068;454.988;221.350;138.935;71.718
2007;597.176;295.024;459.074;223.861;138.102;71.163
2008;600.068;296.851;462.708;226.421;137.360;70.430
2009;601.646;298.015;465.008;228.072;136.638;69.943
2010;606.588;301.128;469.985;230.995;136.603;70.133
2011;591.015;290.245;466.063;226.743;124.952;63.502
2012;597.939;294.475;468.899;228.668;129.040;65.807
2013;604.297;298.518;470.702;229.942;133.595;68.576
2014;612.441;303.622;472.943;231.375;139.498;72.247
2015;623.738;310.492;475.041;232.769;148.697;77.723
2016;628.032;313.295;476.079;233.637;151.953;79.658
2017;632.743;316.126;476.820;234.070;155.923;82.056
2018;634.830;317.139;477.094;234.332;157.736;82.807
 * Volkszählungsergebnisse. 
"1) Fortschreibungen jeweils zum 31.12. des Jahres.
 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. "
2) 2014-2018: Bei Städten und Gemeinden mit Landeserstaufnahmeeinrichtung für Flüchtlinge (LEA) kann es durch die hohe Zahl an Zu- und Fortzügen zu verfahrensbedingten Schwankungen in der amtlichen Bevölkerungsfortschreibung und der Ermittlung der amtlichen Einwohnerzahl kommen. 
 Datenquelle: Bevölkerungsfortschreibung, Volkszählungen, Zensus. 
